# KERISE v5
# 正面向きの壁がない斜め5マス
# 区画の切り替わり上からスタート
# ref_v.tra	est_v.tra	ref_a.tra	est_a.tra	ref_q.x	est_q.x	ref_q.y	est_q.y	ref_q.th	est_q.th	ref_0	ref_1	ref_2	ref_3	wd_0	wd_1	wd_2	wd_3	tof
5.559e+02	5.771e+02	0.000e+00	1.951e+00	2.003e+01	2.088e+01	0.000e+00	6.258e-02	0.000e+00	6.207e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.604e+02	4.501e+02	0.000e+00	2.307e+00	2.059e+01	2.133e+01	0.000e+00	6.641e-02	0.000e+00	8.514e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.646e+02	5.650e+02	0.000e+00	2.285e+00	2.115e+01	2.190e+01	0.000e+00	7.251e-02	0.000e+00	1.080e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.686e+02	4.416e+02	0.000e+00	1.971e+00	2.172e+01	2.234e+01	0.000e+00	7.815e-02	0.000e+00	1.277e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.724e+02	5.541e+02	0.000e+00	1.528e+00	2.229e+01	2.289e+01	0.000e+00	8.607e-02	0.000e+00	1.430e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.759e+02	4.392e+02	0.000e+00	1.095e+00	2.286e+01	2.333e+01	0.000e+00	9.283e-02	0.000e+00	1.539e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.792e+02	5.529e+02	0.000e+00	8.598e-01	2.344e+01	2.388e+01	0.000e+00	1.018e-01	0.000e+00	1.625e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.822e+02	4.392e+02	0.000e+00	5.831e-01	2.402e+01	2.432e+01	0.000e+00	1.092e-01	0.000e+00	1.684e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.850e+02	5.541e+02	0.000e+00	3.054e-01	2.461e+01	2.488e+01	0.000e+00	1.187e-01	0.000e+00	1.714e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.876e+02	4.404e+02	0.000e+00	7.016e-02	2.519e+01	2.532e+01	0.000e+00	1.263e-01	0.000e+00	1.721e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.899e+02	5.554e+02	0.000e+00	-1.022e-01	2.578e+01	2.587e+01	0.000e+00	1.358e-01	0.000e+00	1.711e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.920e+02	4.368e+02	0.000e+00	-4.598e-01	2.637e+01	2.631e+01	0.000e+00	1.431e-01	0.000e+00	1.665e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.938e+02	5.505e+02	0.000e+00	-7.961e-01	2.696e+01	2.686e+01	0.000e+00	1.518e-01	0.000e+00	1.585e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.954e+02	4.332e+02	0.000e+00	-7.759e-01	2.756e+01	2.729e+01	0.000e+00	1.583e-01	0.000e+00	1.508e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
5.968e+02	5.493e+02	0.000e+00	-6.365e-01	2.816e+01	2.784e+01	0.000e+00	1.663e-01	0.000e+00	1.444e-02	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.109e+01	9.396e+01	9.701e+01	7.951e+01	2.810e+02
