( 29,  0, ^, false)
( 29,  0, >, true)
( 29,  1, <, true)
( 29,  1, ^, false)
( 29,  1, >, false)
( 29,  2, <, true)
( 29,  2, ^, true)
( 29,  2, >, true)
( 30,  1, ^, false)
( 30,  1, >, true)
( 30,  1, v, false)
( 30,  2, ^, true)
( 30,  2, >, true)
( 30,  0, >, false)
( 31,  0, ^, false)
( 31,  1, ^, false)
( 31,  2, ^, false)
( 31,  3, <, false)
( 31,  3, ^, false)
( 31,  4, ^, false)
( 31,  5, ^, false)
( 31,  6, <, true)
( 31,  6, ^, false)
( 31,  7, <, false)
( 31,  7, ^, true)
( 30,  7, v, true)
( 30,  7, <, false)
( 30,  7, ^, true)
( 29,  7, v, true)
( 29,  7, <, true)
( 29,  7, ^, false)
( 29,  8, <, true)
( 29,  8, ^, true)
( 29,  8, >, false)
( 30,  8, ^, true)
( 30,  8, >, false)
( 31,  8, ^, false)
( 31,  9, <, true)
( 31,  9, ^, false)
( 31, 10, <, true)
( 31, 10, ^, false)
( 31, 11, <, true)
( 31, 11, ^, false)
( 31, 12, <, true)
( 31, 12, ^, false)
( 31, 13, <, true)
( 31, 13, ^, false)
( 31, 14, <, true)
( 31, 14, ^, false)
( 31, 15, <, true)
( 31, 15, ^, false)
( 31, 16, <, true)
( 31, 16, ^, false)
( 31, 17, <, true)
( 31, 17, ^, false)
( 31, 18, <, true)
( 31, 18, ^, false)
( 31, 19, <, true)
( 31, 19, ^, false)
( 31, 20, <, true)
( 31, 20, ^, false)
( 31, 21, <, true)
( 31, 21, ^, false)
( 31, 22, <, true)
( 31, 22, ^, false)
( 31, 23, <, true)
( 31, 23, ^, false)
( 31, 24, <, true)
( 31, 24, ^, false)
( 31, 25, <, true)
( 31, 25, ^, false)
( 31, 26, <, true)
( 31, 26, ^, false)
( 31, 27, <, false)
( 31, 27, ^, false)
( 31, 28, <, false)
( 31, 28, ^, false)
( 31, 29, <, false)
( 31, 29, ^, false)
( 31, 30, <, true)
( 31, 30, ^, false)
( 31, 31, <, false)
( 30, 31, v, false)
( 30, 31, <, false)
( 29, 31, v, false)
( 29, 31, <, false)
( 28, 31, v, true)
( 28, 31, <, false)
( 27, 31, v, true)
( 27, 31, <, false)
( 26, 31, v, true)
( 26, 31, <, false)
( 25, 31, v, true)
( 25, 31, <, false)
( 24, 31, v, true)
( 24, 31, <, false)
( 23, 31, v, true)
( 23, 31, <, false)
( 22, 31, v, true)
( 22, 31, <, false)
( 21, 31, v, true)
( 21, 31, <, false)
( 20, 31, v, true)
( 20, 31, <, false)
( 19, 31, v, true)
( 19, 31, <, false)
( 18, 31, v, true)
( 18, 31, <, false)
( 17, 31, v, true)
( 17, 31, <, false)
( 16, 31, v, true)
( 16, 31, <, false)
( 15, 31, v, true)
( 15, 31, <, false)
( 14, 31, v, true)
( 14, 31, <, false)
( 13, 31, v, true)
( 13, 31, <, false)
( 12, 31, v, true)
( 12, 31, <, false)
( 11, 31, v, true)
( 11, 31, <, false)
( 10, 31, v, true)
( 10, 31, <, false)
(  9, 31, v, false)
(  9, 31, <, true)
(  9, 30, >, true)
(  9, 30, v, false)
(  9, 30, <, true)
(  9, 29, >, true)
(  9, 29, <, false)
(  8, 29, ^, false)
(  8, 30, ^, false)
(  8, 31, <, false)
(  7, 31, <, false)
(  6, 31, <, false)
(  5, 31, <, false)
(  4, 31, <, false)
(  3, 31, <, false)
(  2, 31, <, false)
(  1, 31, v, false)
(  1, 30, v, true)
(  1, 30, <, false)
( 29, 30, >, true)
( 29, 30, v, true)
( 29, 30, <, true)
( 30, 30, v, false)
( 30, 29, v, true)
( 30, 29, <, false)
( 29, 29, v, false)
( 29, 29, <, false)
( 28, 29, v, true)
( 28, 29, <, false)
( 28, 29, ^, false)
( 27, 29, v, false)
( 27, 29, <, false)
( 27, 29, ^, false)
( 26, 29, v, false)
( 26, 29, <, true)
( 26, 29, ^, true)
( 26, 28, >, true)
( 26, 28, v, false)
( 26, 28, <, false)
( 26, 27, >, false)
( 26, 27, v, true)
( 26, 27, <, true)
( 27, 27, ^, true)
( 27, 27, >, false)
( 27, 27, v, false)
( 28, 27, ^, false)
( 28, 27, >, false)
( 28, 27, v, true)
( 29, 27, ^, false)
( 29, 27, >, true)
( 29, 27, v, false)
( 29, 26, >, false)
( 29, 26, v, false)
( 29, 26, <, true)
( 29, 25, >, true)
( 29, 25, v, true)
( 29, 25, <, false)
( 28, 25, v, false)
( 28, 25, <, true)
( 28, 25, ^, false)
( 28, 24, >, false)
( 28, 24, v, true)
( 28, 24, <, true)
( 29, 24, >, false)
( 29, 24, v, false)
( 30, 24, ^, false)
( 30, 24, v, false)
( 30, 23, v, true)
( 30, 23, <, true)
( 29, 23, v, false)
( 29, 23, <, true)
( 29, 22, >, false)
( 29, 22, v, true)
( 29, 22, <, false)
( 28, 22, v, false)
( 28, 22, <, false)
( 28, 22, ^, false)
( 27, 22, v, true)
( 27, 22, <, true)
( 27, 22, ^, true)
( 28, 21, >, false)
( 28, 21, v, true)
( 28, 21, <, false)
( 27, 21, v, false)
( 27, 21, <, false)
( 26, 21, v, true)
( 26, 21, <, false)
( 26, 21, ^, false)
( 25, 21, v, false)
( 25, 21, <, false)
( 25, 21, ^, true)
( 24, 21, v, true)
( 24, 21, <, true)
( 24, 21, ^, false)
( 24, 22, <, false)
( 24, 22, ^, true)
( 24, 22, >, false)
( 23, 22, v, false)
( 23, 22, <, true)
( 23, 22, ^, true)
( 23, 21, v, false)
( 23, 21, <, false)
( 23, 20, >, false)
( 23, 20, v, true)
( 23, 20, <, true)
( 24, 20, >, true)
( 24, 20, v, false)
( 24, 19, >, false)
( 24, 19, v, true)
( 24, 19, <, true)
( 25, 19, ^, true)
( 25, 19, >, false)
( 25, 19, v, true)
( 26, 19, ^, true)
( 26, 19, >, false)
( 26, 19, v, true)
( 27, 19, ^, true)
( 27, 19, >, false)
( 27, 19, v, true)
( 28, 19, ^, true)
( 28, 19, >, false)
( 28, 19, v, true)
( 29, 19, ^, true)
( 29, 19, >, false)
( 29, 19, v, true)
( 30, 19, ^, true)
( 30, 19, v, false)
( 30, 18, v, false)
( 30, 18, <, true)
( 30, 17, v, false)
( 30, 17, <, true)
( 30, 16, v, false)
( 30, 16, <, true)
( 30, 15, v, false)
( 30, 15, <, true)
( 30, 14, v, false)
( 30, 14, <, true)
( 30, 13, v, false)
( 30, 13, <, true)
( 30, 12, v, false)
( 30, 12, <, true)
( 30, 11, v, false)
( 30, 11, <, true)
( 30, 10, v, false)
( 30, 10, <, true)
( 30,  9, <, false)
( 29,  9, <, false)
( 29,  9, ^, true)
( 28,  9, v, false)
( 28,  9, <, true)
( 28,  9, ^, true)
( 28,  8, v, false)
( 28,  8, <, true)
( 28,  7, v, false)
( 28,  7, <, true)
( 28,  6, >, false)
( 28,  6, <, false)
( 27,  6, ^, false)
( 27,  7, <, true)
( 27,  7, ^, false)
( 27,  8, <, false)
( 27,  8, ^, false)
( 27,  9, <, true)
( 27,  9, ^, false)
( 27, 10, <, true)
( 27, 10, ^, true)
( 27, 10, >, false)
( 28, 10, ^, true)
( 28, 10, >, false)
( 29, 10, ^, false)
( 29, 11, <, false)
( 29, 11, ^, false)
( 29, 12, <, true)
( 29, 12, ^, false)
( 29, 13, <, true)
( 29, 13, ^, false)
( 29, 14, <, true)
( 29, 14, ^, false)
( 29, 15, <, true)
( 29, 15, ^, false)
( 29, 16, <, true)
( 29, 16, ^, false)
( 29, 17, <, false)
( 29, 17, ^, false)
( 29, 18, <, false)
( 28, 18, v, true)
( 28, 18, <, false)
( 27, 18, v, true)
( 27, 18, <, false)
( 26, 18, v, true)
( 26, 18, <, false)
( 25, 18, v, true)
( 25, 18, <, false)
( 24, 18, v, true)
( 24, 18, <, false)
( 23, 18, v, true)
( 23, 18, <, false)
( 23, 18, ^, false)
( 22, 18, v, true)
( 22, 18, <, false)
( 22, 18, ^, true)
( 21, 18, v, true)
( 21, 18, <, true)
( 21, 18, ^, true)
( 23, 19, <, false)
( 22, 19, <, true)
( 22, 19, ^, false)
( 22, 20, <, false)
( 22, 20, ^, true)
( 21, 20, v, false)
( 21, 20, <, true)
( 21, 20, ^, false)
( 21, 19, <, false)
( 20, 19, v, true)
( 20, 19, <, true)
( 20, 19, ^, false)
( 20, 20, <, true)
( 20, 20, ^, false)
( 20, 21, <, true)
( 20, 21, ^, false)
( 20, 21, >, true)
( 20, 22, <, true)
( 20, 22, ^, false)
( 20, 22, >, true)
( 20, 23, <, false)
( 20, 23, ^, true)
( 20, 23, >, true)
( 19, 23, v, true)
( 19, 23, <, false)
( 19, 23, ^, true)
( 18, 23, v, true)
( 18, 23, <, false)
( 18, 23, ^, true)
( 17, 23, v, true)
( 17, 23, <, true)
( 17, 23, ^, false)
( 17, 24, <, false)
( 17, 24, ^, true)
( 17, 24, >, false)
( 16, 24, v, true)
( 16, 24, <, true)
( 16, 24, ^, true)
( 18, 24, ^, true)
( 18, 24, >, false)
( 19, 24, ^, true)
( 19, 24, >, false)
( 20, 24, ^, false)
( 20, 24, >, true)
( 20, 25, <, false)
( 20, 25, ^, true)
( 20, 25, >, true)
( 19, 25, <, false)
( 19, 25, ^, true)
( 18, 25, <, false)
( 18, 25, ^, true)
( 17, 25, <, false)
( 17, 25, ^, true)
( 16, 25, <, false)
( 16, 25, ^, true)
( 15, 25, v, true)
( 15, 25, <, true)
( 15, 25, ^, false)
( 15, 26, <, false)
( 15, 26, ^, true)
( 15, 26, >, true)
( 14, 26, v, true)
( 14, 26, <, true)
( 14, 26, ^, false)
( 14, 27, <, false)
( 14, 27, ^, true)
( 14, 27, >, false)
( 13, 27, v, true)
( 13, 27, <, true)
( 13, 27, ^, true)
( 15, 27, ^, false)
( 15, 27, >, true)
( 15, 28, <, true)
( 15, 28, ^, false)
( 15, 28, >, true)
( 15, 29, <, false)
( 15, 29, ^, false)
( 15, 29, >, true)
( 15, 30, <, true)
( 15, 30, >, true)
( 14, 29, v, false)
( 14, 29, <, false)
( 14, 29, ^, false)
( 13, 29, v, false)
( 13, 29, <, false)
( 13, 29, ^, false)
( 12, 29, v, false)
( 12, 29, <, false)
( 12, 29, ^, false)
( 11, 29, v, false)
( 11, 29, <, false)
( 11, 29, ^, false)
( 10, 29, v, false)
( 10, 29, ^, false)
( 10, 28, >, true)
( 10, 28, v, false)
( 10, 27, >, false)
( 10, 27, v, true)
( 11, 27, ^, true)
( 11, 27, >, false)
( 11, 27, v, true)
( 12, 27, ^, true)
( 12, 27, v, false)
( 12, 26, >, false)
( 12, 26, v, true)
( 12, 26, <, true)
( 13, 26, v, false)
( 13, 25, >, false)
( 13, 25, v, true)
( 13, 25, <, true)
( 14, 25, v, false)
( 14, 24, >, false)
( 14, 24, v, true)
( 14, 24, <, true)
( 15, 24, v, false)
( 15, 23, >, false)
( 15, 23, v, true)
( 15, 23, <, true)
( 16, 23, v, false)
( 16, 22, >, false)
( 16, 22, v, true)
( 16, 22, <, true)
( 17, 22, >, true)
( 17, 22, v, false)
( 17, 21, >, false)
( 17, 21, v, true)
( 17, 21, <, true)
( 18, 21, ^, false)
( 18, 21, >, true)
( 18, 21, v, false)
( 18, 20, >, true)
( 18, 20, v, true)
( 18, 20, <, true)
( 18, 22, >, false)
( 19, 22, v, false)
( 19, 21, v, false)
( 19, 20, v, false)
( 19, 19, v, true)
( 19, 19, <, false)
( 18, 19, v, true)
